"source_id","nombre","categoria","marca","modelo","descripcion","precio","stock","imagen_url","activo"
"ZT-INV-4341A5C7B4A6B9729846","BLUETOOTH MOVISUN T3 NEGRO","MOVISUN","","","","68000","3","","1"
"ZT-INV-B6F7C78B4148B5193081","BLUETOOTH MOVISUN T3 VERDE","MOVISUN","","","","68000","3","","1"
"ZT-INV-BE7750CC153050576AA8","BLUETOOTH MOVISUN T4 BLANCO","MOVISUN","","","","68000","1","","1"
"ZT-INV-7AE53105D0414099343E","BLUETOOTH MOVISUN T4 LILA","MOVISUN","","","","68000","1","","1"
"ZT-INV-3157475D05996777934E","BLUETOOTH MOVISUN T4 ROSA","MOVISUN","","","","68000","2","","1"
"ZT-INV-294257989F521E1A60AF","BLUETOOTH MOVISUN T5 BLANCO","MOVISUN","","","","75000","2","","1"
"ZT-INV-04298EC87A6224D87C99","BLUETOOTH MOVISUN T5 LILA","MOVISUN","","","","75000","1","","1"
"ZT-INV-6806154AAF1B01587986","BLUETOOTH MOVISUN T5 ROSA","MOVISUN","","","","75000","2","","1"
"ZT-INV-719829096BC24A3044A0","BLUETOOTH MOVISUN T6 BLANCO","MOVISUN","","","","95000","1","","1"
"ZT-INV-D65AE51648C3C33833E8","BLUETOOTH MOVISUN T6 MORADO","MOVISUN","","","","95000","1","","1"
"ZT-INV-BEF0CFA5A58DC90D8311","BLUETOOTH MOVISUN T6 NEGRO","MOVISUN","","","","95000","1","","1"
"ZT-INV-1491DBBC68AFD6F65E46","BLUETOOTH MOVISUN T6 ROSADO","MOVISUN","","","","95000","1","","1"
"ZT-INV-018E71E2C661ADAF7759","BLUETOOTH MOVISUN T6 VERDE","MOVISUN","","","","95000","1","","1"
"ZT-INV-5A8F9C8B00831FD997CC","BLUETOOTH MOVISUN TW1 BLANCO","MOVISUN","","","","85000","3","","1"
"ZT-INV-BF8B95910DB715F404A4","BLUETOOTH MOVISUN TW1 NEGRO","MOVISUN","","","","85000","3","","1"
"ZT-INV-048BEEC09AE179EEC743","BLUETOOTH MOVISUN W1 AZUL","MOVISUN","","","","68000","2","","1"
"ZT-INV-37B8CB9B207957A3A460","BLUETOOTH MOVISUN W1 LILA","MOVISUN","","","","68000","2","","1"
"ZT-INV-5D4431EE961496A2603C","BLUETOOTH MOVISUN W1 NEGRO","MOVISUN","","","","68000","3","","1"
"ZT-INV-60692E395B2242084867","BLUETOOTH MOVISUN W1 ROSA","MOVISUN","","","","68000","1","","1"
"ZT-INV-8EE62E73CEB5E8CA69AA","BLUETOOTH REDMI BUDS 6 PLAY ROSA","XIAOMI","","","","90000","0","","1"
"ZT-INV-0ADA31031506FBB63AB4","BLUETOOTH SOUNDCORE P25I","BLUETOOTH","","","","95000","2","","1"
"ZT-INV-BD0B480751D2206E4FC1","BLUETOOTH T5 MOVISUN NEGRO","MOVISUN","","","","68000","10","","1"
"ZT-INV-08F0D9362BD02751791F","BLUETOOTH VIDVIE BT8002","VIDVIE","","","","105000","2","","1"
"ZT-INV-CFD9D7C7E367AC5828D3","BLUETOOTH VIDVIE BT8003","VIDVIE","","","","105000","2","","1"
"ZT-INV-F47E06C8754E6C6DAECC","BLUETOOTH VIDVIE BT861","VIDVIE","","","","110000","2","","1"
"ZT-INV-BFC4558F5AA0110E171D","BLUETOOTH VIDVIE BT866","VIDVIE","","","","110000","2","","1"
"ZT-INV-D56BBC9364EE2A2040CA","BLUETOOTH VIDVIE VS W02","VIDVIE","","","","75000","3","","1"
"ZT-INV-096139AF1B9C5F3BE854","BLUETOOTH VIDVIE VS W03","VIDVIE","","","","75000","3","","1"
"ZT-INV-540A556F22A481660161","BLUETOOTH VIDVIE W16","VIDVIE","","","","95000","2","","1"
"ZT-INV-8C7AAA5A2B03BF08F3E7","BLUETOOTH VIDVIE W17","VIDVIE","","","","95000","2","","1"
"ZT-INV-FCBE83E38F1E2583F9ED","CABEZA EPIK 20W","EPIK","","","","35000","5","","1"
"ZT-INV-16DE66C38CD659F44638","CABEZA IPHONE 20W","CARGADORES","","","","50000","5","","1"
"ZT-INV-B9945400C76B7976F01B","CABEZA MOVISUN 20W IP-15","MOVISUN","","","","40000","17","","1"
"ZT-INV-329BA8404FBFAAD25F02","CABEZA ORIGINAL IPHONE 20W","CARGADORES","","","","100000","1","","1"
"ZT-INV-3B072E232D4CC14775DB","CABEZA ORIGINAL IPHONE 40W","CARGADORES","","","","180000","2","","1"
"ZT-INV-9F32A041B9A7F15FB1EC","CABEZA ORIGINAL SAMSUNG 25W","CARGADORES","","","","70000","4","","1"
"ZT-INV-71276CD3BF61933A3DB1","CABEZA SAMSUNG 25W","CARGADORES","","","","40000","10","","1"
"ZT-INV-80ADE7C53A25CCA5F737","CABEZA SAMSUNG 45W","CARGADORES","","","","50000","6","","1"
"ZT-INV-C707D19060B74D9923E2","CABEZA SAMSUNG 45W 1.1","CARGADORES","","","","60000","3","","1"
"ZT-INV-D354B14B3527644D0D37","CABEZA VIDVIE 20W PLM370","VIDVIE","","","","28000","17","","1"
"ZT-INV-67E7DBDD27835D9AD47A","CABEZA VIDVIE 20W PLM373","VIDVIE","","","","30000","8","","1"
"ZT-INV-535EC5C135FE0CFE4804","CABLE ASPOR 6A USB IPH","CABLES","","","","20000","7","","1"
"ZT-INV-C6DDA087A06062E11DED","CABLE AUXILIAR 3.5 MOVISUN ZCA 1","MOVISUN","","","","15000","8","","1"
"ZT-INV-66507EEC520D4D8CB6CA","CABLE EPIK C C 100W","EPIK","","","","25000","9","","1"
"ZT-INV-9CEC61CACBABE84268CB","CABLE EPIK C C FLEX 100W","EPIK","","","","25000","6","","1"
"ZT-INV-AEC502D0E1933C5C7B49","CABLE EPIK C-C PD 20W","EPIK","","","","25000","7","","1"
"ZT-INV-E8B207396DD11921C69C","CABLE EPIK TRI LINK PRO","EPIK","","","","30000","6","","1"
"ZT-INV-A11C1A2B240EFAB3A1DB","CABLE EPIK USB-C 5A","EPIK","","","","20000","14","","1"
"ZT-INV-E4D20CEDF59A79224915","CABLE HDMI 1.5","ACCESORIOS COMPUTADORES","","","","15000","0","","1"
"ZT-INV-9EA300BB158BCDAF11C5","CABLE HDMI 1.5 METROS","INTERNET","","","","15000","1","","1"
"ZT-INV-86E9877FA7598EEB061B","CABLE HDMI 2 METROS","INTERNET","","","","25000","0","","1"
